               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.067158,            0.017679,                   0,             0.22612,             0.24096,             0.15909,            0.051328,            0.068281,            0.019001,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.069423,            0.016584,                   0,              0.2392,             0.25301,             0.16648,            0.051277,            0.071274,            0.018775,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.069126,            0.018927,                   0,             0.26236,             0.26506,             0.17545,            0.061816,            0.068692,            0.018176,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.067943,            0.018932,                   0,             0.19358,             0.28916,             0.12683,            0.041085,            0.068088,            0.018067,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.068799,            0.019786,                   0,             0.26969,             0.25301,             0.16527,            0.046249,            0.068969,            0.017832,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.069618,            0.018308,                   0,             0.14854,             0.22892,             0.11618,            0.046925,            0.069836,            0.018273,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.065217,            0.017817,                   0,             0.18786,             0.28151,             0.12401,            0.050155,            0.067304,            0.018268,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.068322,            0.018052,                   0,             0.33702,             0.24502,             0.21175,            0.064077,            0.066469,            0.020204,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.069927,            0.017996,                   0,             0.26925,             0.29302,             0.20883,            0.064104,            0.067523,              0.0182,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.067765,            0.018095,                   0,             0.29799,              0.3012,             0.19425,            0.069212,            0.064859,            0.018312,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.065777,             0.01792,                   0,             0.32513,             0.27711,             0.20136,            0.072459,            0.066928,            0.018727,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.06237,            0.016829,                   0,             0.25469,             0.27711,             0.18267,            0.071312,             0.06727,            0.018201,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.065152,            0.017723,                   0,             0.23345,             0.25301,             0.14358,            0.051032,            0.066686,            0.017994,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.066563,            0.017159,                   0,             0.30619,             0.26506,             0.22195,            0.074404,             0.06659,            0.018095,                   0,             0.00505,             0.00505,             0.00505
